,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
140,"Like To Be You feat. Julia Michaels","Shawn Mendes",676449,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
141,"Ratchet Happy Birthday",Drake,676425,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
142,"ocean eyes","Billie Eilish",670785,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
143,Ambiente,"J Balvin",669267,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
144,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",664737,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
145,"Wake Me Up",Avicii,664616,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
146,"Duro y Suave","Leslie Grace",663874,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
147,"Final Fantasy",Drake,663809,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
148,"Like I Do","David Guetta",663277,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
149,Congratulations,"Post Malone",662967,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
150,Dembow,"Danny Ocean",662594,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
151,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",660344,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
152,Unforgettable,"French Montana",658157,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
153,Connection,OneRepublic,653661,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
154,"Feel It Still","Portugal. The Man",653388,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
155,"I'm Yours","Jason Mraz",643331,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
156,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",641742,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
157,"Better Not (feat. Wafia)","Louis The Child",637491,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0
158,Wolves,"Selena Gomez",636118,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
159,"Never Be the Same","Camila Cabello",630089,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
160,Silence,Marshmello,628249,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
161,"Something Just Like This","The Chainsmokers",627139,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
162,"I Like Me Better",Lauv,626653,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
163,"March 14",Drake,625790,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
164,Paranoid,"Post Malone",624215,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
165,"One Dance",Drake,621361,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
166,Esskeetit,"Lil Pump",620638,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
167,"Youth feat. Khalid","Shawn Mendes",620191,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
168,Simple,"Florida Georgia Line",617702,https://open.spotify.com/track/6fYkv8bGKiZl4Y3LYrFfAZ
169,"Guatemala - From Swaecation","Rae Sremmurd",615217,https://open.spotify.com/track/0TCnOEVeLQMXOUrpPlM7uY
170,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,614643,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
171,"Without You (feat. Sandro Cavazza)",Avicii,608919,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
172,"Young Dumb & Broke",Khalid,608631,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
173,SoulMate,"Justin Timberlake",605885,https://open.spotify.com/track/4YLtrBhzjsI2LT6ybXQHeD
174,"I Wanna Know (feat. Bea Miller)",NOTD,604867,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
175,Yikes,"Kanye West",595846,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
176,goosebumps,"Travis Scott",590418,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
177,"Let Me Down Slowly","Alec Benjamin",586390,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
178,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",584371,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
179,"Spoil My Night (feat. Swae Lee)","Post Malone",583815,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
180,"Sorry Not Sorry","Demi Lovato",583628,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
181,Criminal,"Natti Natasha",583254,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
182,"What Lovers Do","Maroon 5",583102,https://open.spotify.com/track/5SDCeGVT08a1RMXIBJF2O5
183,"More Than You Know","Axwell /\ Ingrosso",579507,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
184,Africa,Toto,577217,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
185,TATI,6ix9ine,576956,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
186,"Millidelphia (feat. Swizz Beatz)","Meek Mill",574121,https://open.spotify.com/track/1dQ84P0W0lOckT02lPEhhP
187,"Thinking Out Loud","Ed Sheeran",573893,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
188,Stay,"Post Malone",573822,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
189,Halo,Beyoncé,572225,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
190,Solita,Ozuna,569922,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
191,"Who Want The Smoke?","Lil Yachty",569726,https://open.spotify.com/track/3LR0t8XqZ1FUj6nj01sXN0
192,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",568581,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
193,"Let You Down",NF,567440,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
194,"FAKE LOVE",BTS,567103,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
195,"Whatever It Takes","Imagine Dragons",566901,https://open.spotify.com/track/0yt31hMKZMiyIEfiBiLD2N
196,"Ao Vivo E A Cores","Matheus & Kauan",566263,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
197,Location,Khalid,564175,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
198,"Dance To This (feat. Ariana Grande)","Troye Sivan",559726,https://open.spotify.com/track/1NbGcdgwRHZ5rbPIT9hdR3
199,"Champion (feat. Travis Scott)",NAV,557338,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
200,Photograph,"Ed Sheeran",554497,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
