artist,song,index,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
BlocBoy JB,Look Alive (feat. Drake),1,0.00104,0.922,181263.0,0.581,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",5.86e-05,10.0,0.105,-7.495,1.0,78.0,0.27,140.022,4.0,0.595,
Brad Paisley,Today,3,0.539,0.347,229338.0,0.632,"['contemporary country', 'country', 'country road', 'modern country rock']",0.00226,2.0,0.121,-6.998,1.0,66.0,0.0381,74.257,3.0,0.285,
Brantley Gilbert,The Weekend,0,0.0549,0.53,187760.0,0.809,"['contemporary country', 'country', 'country road', 'modern country rock']",0.0,6.0,0.0741,-4.745,0.0,67.0,0.0388,82.022,4.0,0.731,
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,1,0.703,0.691,125827.0,0.402,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'nashville sound', 'rockabilly']",0.0,8.0,0.463,-12.149,1.0,46.0,0.0599,139.752,4.0,0.844,
Brett Eldredge,The Long Way,2,0.265,0.488,208720.0,0.637,"['contemporary country', 'country', 'country road', 'modern country rock']",0.0,10.0,0.106,-7.63,1.0,66.0,0.0401,88.865,4.0,0.23,
Brett Young,Mercy,2,0.848,0.637,217120.0,0.375,['contemporary country'],0.0,4.0,0.1,-7.713,1.0,68.0,0.0292,71.942,4.0,0.198,
Brett Young,Like I Loved You,1,0.179,0.579,207187.0,0.573,['contemporary country'],0.0,1.0,0.083,-5.991,1.0,68.0,0.0292,76.02,4.0,0.637,
Brett Young,In Case You Didn't Know,0,0.357,0.599,224853.0,0.542,['contemporary country'],0.0,10.0,0.104,-7.274,1.0,68.0,0.0304,148.003,4.0,0.383,
Brothers Osborne,It Ain't My Fault,3,0.00155,0.723,216800.0,0.824,"['contemporary country', 'country', 'country road', 'modern country rock']",0.167,11.0,0.333,-5.911,0.0,66.0,0.0331,123.011,4.0,0.76,
Bruno Mars,Versace On The Floor,3,0.196,0.578,261240.0,0.574,"['dance pop', 'pop', 'post-teen pop']",0.0,2.0,0.083,-6.209,1.0,84.0,0.0454,174.152,4.0,0.301,
