,artist,song,num_weeks,index_y,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
77,camila cabello,havana,45,2,0.184,0.765,217307,0.523,"['pop', 'post-teen pop']",3.56E-05,2,0.132,-4.333,1,82,0.03,104.988,4,0.394,
78,camila cabello,never be the same,29,3,0.181,0.637,226973,0.713,"['pop', 'post-teen pop']",0.000637,0,0.137,-4.333,1,82,0.0747,129.923,4,0.243,
79,camila cabello,omg,1,0,0.0295,0.655,228893,0.576,"['pop', 'post-teen pop']",0.115,5,0.132,-6.735,0,82,0.0536,139.953,4,0.167,
621,cardi b,i like it,13,1,0.099,0.816,253390,0.726,['pop'],0,5,0.372,-3.998,0,90,0.129,136.048,4,0.65,
620,cardi b,drip (feat. migos),10,1,0.0511,0.968,262308,0.589,['pop'],0,11,0.0731,-7.808,1,90,0.255,129.993,4,0.268,
619,cardi b,i do (feat. sza),5,0,0.27,0.886,200205,0.473,['pop'],2.58E-05,7,0.0864,-7.338,0,90,0.255,135.065,4,0.438,
618,cardi b,bartier cardi (feat. 21 savage),19,1,0.00111,0.908,224285,0.524,['pop'],0.000678,1,0.383,-7.955,1,90,0.181,138.015,4,0.109,
617,cardi b,best life (feat. chance the rapper),3,3,0.287,0.62,284856,0.625,['pop'],0,9,0.314,-7.438,1,90,0.553,167.911,4,0.665,
616,cardi b,ring (feat. kehlani),4,2,0.049,0.767,177140,0.543,['pop'],0,1,0.115,-7.881,0,90,0.103,106.029,4,0.485,
84,cardi b,she bad,2,3,0.0183,0.791,230953,0.504,['pop'],0,10,0.0963,-7.864,1,90,0.266,159.949,4,0.355,
80,cardi b,be careful,14,2,0.0256,0.82,210787,0.568,['pop'],0,6,0.0952,-8.23,0,90,0.411,152.279,4,0.535,
81,cardi b,bickenhead,2,0,0.154,0.884,181624,0.814,['pop'],1.67E-06,7,0.158,-5.333,1,90,0.303,155.938,4,0.907,
82,cardi b,get up 10,2,2,0.0977,0.806,231453,0.57,['pop'],0,1,0.105,-6.927,1,90,0.246,93.015,4,0.454,
83,cardi b,money bag,2,1,0.107,0.947,229005,0.788,['pop'],0.000691,10,0.108,-6.138,0,90,0.124,129.977,4,0.454,
85,cardi b,thru your phone,3,0,0.17,0.837,188524,0.549,['pop'],0,0,0.057,-5.722,1,90,0.167,121.954,4,0.209,
86,carly pearce,every little thing,17,2,0.44,0.637,180053,0.444,['contemporary country'],5.46E-06,0,0.0954,-6.355,1,53,0.0417,139.775,4,0.319,
88,carrie underwood,dirty laundry,1,0,0.0595,0.456,204093,0.874,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",1.12E-05,10,0.111,-4.129,0,70,0.114,200.179,4,0.5,
89,carrie underwood,the champion,3,1,0.0822,0.666,223999,0.877,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",0,6,0.128,-3.275,1,70,0.194,91.054,4,0.524,
