,level_0,index_x,artist,song,num_weeks,index_y,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
134,196.0,196.0,drake,do not disturb,2.0,0,0.23399999999999999,0.787,283551.0,0.69,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,7.0,0.11199999999999999,-6.206,0.0,100.0,0.40399999999999997,171.02900000000002,4.0,0.465,
130,191.0,191.0,drake,blem,4.0,3,0.0521,0.7240000000000001,216558.0,0.5479999999999999,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",7.400000000000001e-06,7.0,0.10400000000000001,-8.062000000000001,0.0,100.0,0.0497,98.01700000000001,4.0,0.392,
132,193.0,193.0,drake,can't have everything,2.0,1,0.0111,0.636,228438.0,0.568,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,1.0,0.11699999999999999,-8.441,1.0,100.0,0.419,82.495,4.0,0.43799999999999994,
131,192.0,192.0,drake,blue tint,1.0,0,0.0126,0.888,162800.0,0.377,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,7.0,0.19,-10.142000000000001,0.0,100.0,0.33899999999999997,133.996,4.0,0.126,
129,190.0,190.0,drake,after dark,1.0,2,0.0386,0.65,289560.0,0.429,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,2.0,0.139,-13.071,1.0,100.0,0.192,141.855,4.0,0.33299999999999996,
128,189.0,189.0,drake,8 out of 10,1.0,1,0.16399999999999998,0.534,195720.0,0.684,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,11.0,0.499,-7.874,0.0,100.0,0.7170000000000001,170.416,4.0,0.33799999999999997,
127,188.0,188.0,drake,4422,2.0,0,0.499,0.621,186293.0,0.247,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0239,11.0,0.113,-12.290999999999999,0.0,100.0,0.0393,111.97399999999999,4.0,0.221,
141,204.0,204.0,drake,get it together,2.0,0,0.0896,0.78,250337.0,0.7290000000000001,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.42200000000000004,5.0,0.10400000000000001,-9.138,0.0,100.0,0.0493,123.009,4.0,0.8440000000000001,
133,195.0,195.0,drake,diplomatic immunity,3.0,3,0.00468,0.664,255840.0,0.848,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,9.0,0.287,-5.2139999999999995,0.0,100.0,0.44,75.22,4.0,0.5489999999999999,
142,205.0,205.0,drake,glow,2.0,1,0.22699999999999998,0.669,206120.0,0.385,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,0.0,0.7,-8.901,1.0,100.0,0.37799999999999995,162.039,4.0,0.391,
158,221.0,221.0,drake,nonstop,1.0,1,0.0306,0.909,238613.0,0.405,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.00698,6.0,0.105,-8.133,0.0,100.0,0.14,154.984,4.0,0.455,
157,220.0,220.0,drake,no long talk,2.0,0,0.0626,0.919,149569.0,0.627,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,10.0,0.529,-6.763999999999999,0.0,100.0,0.23399999999999999,97.07600000000001,4.0,0.52,
159,222.0,222.0,drake,nothings into somethings,2.0,2,0.379,0.76,153725.0,0.22699999999999998,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0017,11.0,0.355,-8.327,0.0,100.0,0.15,96.912,4.0,0.27899999999999997,
160,223.0,223.0,drake,passionfruit,20.0,3,0.304,0.804,298941.0,0.45899999999999996,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0862,11.0,0.11,-11.556,1.0,100.0,0.039,111.963,4.0,0.37200000000000005,
161,224.0,224.0,drake,peak,1.0,0,0.847,0.6890000000000001,206027.0,0.217,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.000123,9.0,0.106,-13.539000000000001,0.0,100.0,0.0387,92.007,4.0,0.272,
162,225.0,225.0,drake,portland,16.0,1,0.0143,0.924,236615.0,0.444,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,1.0,0.26,-8.227,1.0,100.0,0.243,136.088,4.0,0.314,
163,226.0,226.0,drake,ratchet happy birthday,1.0,2,0.45799999999999996,0.648,207307.0,0.535,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.00246,2.0,0.106,-13.295,1.0,100.0,0.1,168.03,4.0,0.444,
164,227.0,227.0,drake,sacrifices,3.0,3,0.0463,0.903,307593.0,0.43200000000000005,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,8.0,0.111,-11.885,1.0,100.0,0.426,139.028,4.0,0.555,
165,229.0,229.0,drake,signs,6.0,1,0.0853,0.79,234373.0,0.7340000000000001,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.00409,0.0,0.11199999999999999,-4.66,1.0,100.0,0.0524,107.369,4.0,0.223,
166,230.0,230.0,drake,since way back,1.0,2,0.35200000000000004,0.429,368036.0,0.275,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",6.58e-06,0.0,0.185,-11.155999999999999,1.0,100.0,0.161,76.683,4.0,0.258,
167,231.0,231.0,drake,skepta interlude,1.0,3,0.0117,0.8009999999999999,143214.0,0.813,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",3.79e-06,7.0,0.157,-6.404,1.0,100.0,0.23,129.96200000000002,4.0,0.40299999999999997,
168,232.0,232.0,drake,summer games,1.0,0,0.48100000000000004,0.7759999999999999,247893.0,0.48200000000000004,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0457,1.0,0.11,-11.267999999999999,1.0,100.0,0.0356,136.015,4.0,0.128,
169,233.0,233.0,drake,survival,1.0,1,0.134,0.685,136187.0,0.593,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,9.0,0.12300000000000001,-9.083,0.0,100.0,0.284,84.76299999999999,4.0,0.14400000000000002,
170,234.0,234.0,drake,talk up,1.0,2,0.0039,0.759,195813.0,0.479,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5.3e-06,11.0,0.302,-10.65,1.0,100.0,0.18600000000000003,140.089,4.0,0.34700000000000003,
171,235.0,235.0,drake,teenage fever,4.0,3,0.11,0.768,219692.0,0.282,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0208,8.0,0.113,-10.347999999999999,0.0,100.0,0.0863,97.04299999999999,4.0,0.175,
143,206.0,206.0,drake,god's plan,24.0,2,0.0244,0.753,198960.0,0.45399999999999996,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5.6200000000000004e-05,7.0,0.498,-9.488,1.0,100.0,0.0963,77.17,4.0,0.344,
642,,,drake,don’t matter to me,,1,0.49700000000000005,0.825,245787.0,0.317,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0128,10.0,0.11,-12.39,1.0,100.0,0.0583,103.001,4.0,0.136,
643,,,drake,sandra’s rose,,0,0.047,0.48700000000000004,216333.0,0.85,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,1.0,0.142,-5.4270000000000005,1.0,100.0,0.25,152.102,4.0,0.523,
640,,,drake,can’t take a joke,,2,0.040999999999999995,0.878,163973.0,0.43200000000000005,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,10.0,0.0571,-9.852,0.0,100.0,0.14300000000000002,86.956,4.0,0.441,
145,208.0,208.0,drake,i'm upset,6.0,0,0.263,0.899,214139.0,0.5920000000000001,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,11.0,0.0831,-7.901,0.0,100.0,0.33299999999999996,149.953,4.0,0.504,
146,209.0,209.0,drake,ice melts,2.0,1,0.0754,0.813,250770.0,0.5579999999999999,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,9.0,0.385,-7.559,1.0,100.0,0.337,124.949,4.0,0.631,
147,210.0,210.0,drake,in my feelings,1.0,2,0.006229999999999999,0.735,217933.0,0.48200000000000004,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0144,8.0,0.44799999999999995,-9.445,1.0,100.0,0.139,181.995,4.0,0.315,
148,211.0,211.0,drake,is there more,1.0,3,0.738,0.636,226920.0,0.5379999999999999,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,1.0,0.149,-7.725,1.0,100.0,0.312,83.508,4.0,0.514,
149,212.0,212.0,drake,jaded,1.0,0,0.0366,0.7659999999999999,262453.0,0.272,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,0.0,0.175,-5.696000000000001,1.0,100.0,0.040999999999999995,116.036,4.0,0.037000000000000005,
150,213.0,213.0,drake,jorja interlude,2.0,1,0.755,0.7190000000000001,107673.0,0.354,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.00969,11.0,0.349,-10.460999999999999,1.0,100.0,0.10400000000000001,123.152,4.0,0.205,
151,214.0,214.0,drake,kmt,2.0,2,0.0143,0.872,162638.0,0.623,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0214,1.0,0.125,-6.984,1.0,100.0,0.0446,119.98299999999999,4.0,0.0883,
152,215.0,215.0,drake,lose you,1.0,3,0.736,0.519,305374.0,0.5760000000000001,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,4.0,0.371,-9.162,1.0,100.0,0.414,87.98299999999999,4.0,0.373,
153,216.0,216.0,drake,madiba riddim,2.0,0,0.235,0.8340000000000001,205163.0,0.527,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.00968,7.0,0.632,-10.4,1.0,100.0,0.193,105.86,4.0,0.319,
154,217.0,217.0,drake,march 14,1.0,1,0.4,0.5,309560.0,0.419,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,10.0,0.36,-7.349,0.0,100.0,0.39,91.963,4.0,0.313,
155,218.0,218.0,drake,mob ties,1.0,2,0.0443,0.755,205147.0,0.575,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0012699999999999999,4.0,0.276,-8.392000000000001,0.0,100.0,0.0673,85.994,4.0,0.493,
156,219.0,219.0,drake,nice for what,13.0,3,0.0934,0.5670000000000001,210926.0,0.9129999999999999,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.000124,8.0,0.114,-6.471,1.0,100.0,0.0736,93.35,4.0,0.792,
641,,,drake,that’s how you feel,,0,0.152,0.81,157600.0,0.451,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0537,10.0,0.10800000000000001,-6.348,0.0,100.0,0.249,85.417,4.0,0.359,
144,207.0,207.0,drake,gyalchester,11.0,3,0.0343,0.872,189230.0,0.389,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.000679,1.0,0.0941,-8.343,1.0,100.0,0.0634,131.012,4.0,0.156,
635,,,dram,broccoli,,3,0.23600000000000002,0.8859999999999999,225205.0,0.525,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,8.0,0.057,-7.39,1.0,68.0,0.132,145.99,4.0,0.708,
172,237.0,237.0,dua lipa,idgaf,23.0,1,0.0403,0.836,217947.0,0.544,['pop'],0.0,7.0,0.0824,-5.975,1.0,87.0,0.0943,97.02799999999999,4.0,0.51,
173,238.0,238.0,dua lipa,new rules,47.0,2,0.0026100000000000003,0.762,209320.0,0.7,['pop'],1.56e-05,9.0,0.153,-6.021,0.0,87.0,0.0694,116.073,4.0,0.608,
